date	flitch	digiblockID	stage	rl	materialType	tonnes	grade	ounces
7/23/25	1	CPO_1_4850_0033_LG_001	1	4850	LG	1,535	0.81	40
7/23/25	1	CPO_1_4850_0033_LG_002	1	4850	LG	599	0.79	15
7/23/25	1	CPO_1_4850_0033_MW_001	1	4850	MW	1,557	0.67	34
7/23/25	1	CPO_1_4850_0033_MW_002	1	4850	MW	725	0.46	11
7/23/25	1	CPO_1_4850_0033_MW_003	1	4850	MW	713	0.54	12
7/23/25	1	CPO_1_4850_0033_MW_004	1	4850	MW	169	0.63	3
7/23/25	3	CPO_1_4800_0033_HG_002	1	4800	HG	2,345	2.95	222
7/23/25	2	CPO_1_4825_0033_LG_001	1	4825	LG	1,431	0.73	33
7/23/25	2	CPO_1_4825_0033_LG_002	1	4825	LG	2,121	1.16	79
7/23/25	2	CPO_1_4825_0033_LG_003	1	4825	LG	872	1.11	31
7/23/25	2	CPO_1_4825_0033_MW _001	1	4825	MW	940	0.60	18
7/23/25	2	CPO_1_4825_0033_MW_002	1	4825	MW	534	0.48	8
7/23/25	2	CPO_1_4825_0033_MW_003	1	4825	MW	2,354	0.42	31
7/23/25	2	CPO_1_4825_0033_MW_004	1	4825	MW	665	0.70	15
7/23/25	2	CPO_1_4825_0033_MW_005	1	4825	MW	684	0.69	15
7/23/25	2	CPO_1_4825_0033_HG_002	1	4825	HG	1,861	2.30	138
7/23/25	2	CPO_1_4825_0033_HG_003	1	4825	HG	2,311	2.11	156
7/23/25	3	CPO_1_4800_0033_HG_001	1	4800	HG	1,872	1.59	95
7/23/25	3	CPO_1_4800_0033_LG_002	1	4800	LG	2,969	0.59	56
7/23/25	3	CPO_1_4800_0033_LG_001	1	4800	LG	1,201	0.56	22
7/23/25	1	CPO_1_4850_0033_HG_001	1	4850	HG	1,910	2.02	124
7/23/25	2	CPO_1_4825_0033_HG_001	1	4825	HG	876	1.74	49
7/23/25	3	CPO_1_4800_0033_MW_001	1	4800	MW	469	0.44	7
7/24/25	3	CPO_1_4800_0043_HG_001	1	4800	HG	1,924	3.13	194
7/24/25	3	CPO_1_4800_0043_HG_002	1	4800	HG	3,237	3.81	397
7/24/25	3	CPO_1_4800_0043_LG_001	1	4800	LG	2,758	0.72	64
7/24/25	3	CPO_1_4800_0043_LG_002	1	4800	LG	1,261	0.88	36
7/24/25	3	CPO_1_4800_0043_LG_003	1	4800	LG	1,245	0.56	22
7/24/25	3	CPO_1_4800_0043_LG_004	1	4800	MW	567	0.53	10
7/24/25	2	CPO_1_4825_0043_HG_001	1	4825	HG	2,068	3.22	214
7/24/25	2	CPO_1_4825_0043_LG_001	1	4825	LG	4,297	1.10	152
7/24/25	2	CPO_1_4825_0043_LG_002	1	4825	LG	866	0.75	21
7/24/25	2	CPO_1_4825_0043_MW_001	1	4825	MW	2,849	0.44	41
7/24/25	2	CPO_1_4825_0043_MW_002	1	4825	MW	2,018	0.47	30
7/24/25	2	CPO_1_4825_0043_MW_003	1	4825	MW	1,798	0.52	30
7/24/25	2	CPO_1_4825_0043_MW_004	1	4825	MW	544	0.47	8
7/24/25	1	CPO_1_4850_0043_LG_001	1	4850	LG	1,287	0.95	39
7/24/25	1	CPO_1_4850_0043_LG_002	1	4850	LG	477	0.99	15
7/24/25	1	CPO_1_4850_0043_MW_001	1	4850	MW	906	0.42	12
7/24/25	1	CPO_1_4850_0043_MW_002	1	4850	MW	286	0.72	7
7/24/25	1	CPO_1_4850_0043_MW_003	1	4850	MW	923	0.50	15
7/24/25	1	CPO_1_4850_0043_HG_001	1	4850	HG	411	1.65	22
7/25/25	1	CPO_1_4850_0034_MW_001	1	4850	MW	1,828	0.43	25
7/25/25	1	CPO_1_4850_0034_MW_002	1	4850	MW	2,226	0.66	47
7/25/25	2	CPO_1_4800_0034_LG_001	1	4800	LG	9,641	0.58	181
7/27/25	1	CPO_1_4825_0034_MW_001	1	4825	MW	2,768	0.53	47
7/27/25	1	CPO_1_4825_0034_MW_002	1	4825	MW	9,581	0.48	149
7/27/25	1	CPO_1_4850_0024_MW_001	1	4850	MW	416	0.408	5
7/27/25	1	CPO_1_4850_0024_MW_002	1	4850	MW	1,271	0.411	17
7/27/25	1	CPO_1_4825_0024_MW_001	1	4825	MW	1,643	0.50	26
7/27/25	1	CPO_1_4825_0024_MW_002	1	4825	MW	2,265	0.43	31
7/27/25	2	CPO_1_4800_0024_MW_001	1	4800	MW	2,032	0.46	30
7/28/25	1	CPO_2_4825_0056_HG_001	2	4825	HG	5,794	2.00	373
7/28/25	1	CPO_2_4825_0056_LG_001	2	4825	LG	951	1.20	37
7/28/25	1	CPO_2_4825_0056_LG_002	2	4825	LG	4,848	0.80	125
7/28/25	2	CPO_2_4800_0056_HG_001	2	4800	HG	1,793	2.23	129
7/28/25	2	CPO_2_4800_0056_HG_003	2	4800	HG	1,674	2.01	108
7/28/25	2	CPO_2_4800_0056_HG_002	2	4800	HG	1,891	1.99	121
7/28/25	2	CPO_2_4800_0056_LG_001	2	4800	LG	2,547	0.84	69
7/28/25	2	CPO_2_4800_0056_LG_002	2	4800	LG	4,913	0.73	115
7/29/25	1	CPO_2_4825_0066_HG_001	2	4825	HG	4,219	1.77	240
7/29/25	1	CPO_2_4825_0066_LG_002	2	4825	LG	2,531	1.04	84
7/29/25	1	CPO_2_4825_0066_LG_001	2	4825	LG	982	0.93	29
7/29/25	1	CPO_2_4825_0066_LG_003	2	4825	LG	7,024	0.58	131
7/29/25	2	CPO_2_4800_0066_HG_001	2	4800	HG	3,368	1.71	185
7/29/25	2	CPO_2_4800_0066_LG_001	2	4800	LG	3,205	0.75	78
7/29/25	2	CPO_2_4800_0066_LG_002	2	4800	LG	3,063	1.30	128
7/29/25	2	CPO_2_4800_0066_LG_003	2	4800	LG	2,459	0.86	68
7/29/25	2	CPO_2_4800_0066_LG_004	2	4800	LG	1,751	0.52	29
7/29/25	2	CPO_2_4800_0066_LG_005	2	4800	LG	1,554	0.72	36
7/29/25	2	CPO_2_4800_0066_LG_006	2	4800	LG	2,155	0.64	44
7/29/25	2	CPO_2_4800_0066_LG_007	2	4800	LG	2,503	0.55	44
8/2/25	1	CPO_1_4825_0053_LG_001	1	4825	LG	595	0.91	17
8/2/25	1	CPO_1_4825_0053_LG_002	1	4825	LG	3,260	0.96	101
8/2/25	1	CPO_1_4825_0053_LG_003	1	4825	LG	8,220	0.51	135
8/2/25	1	CPO_1_4825_0053_LG_004	1	4825	LG	2,604	0.53	44
8/2/25	2	CPO_1_4800_0053_HG_001	1	4800	HG	3,093	3.66	364
