stage	date	truckID	shift	digblock	flitch	materialType	sp	tonnesTruck	planGrade	dilutedGrade	grabSample	ounces	comments
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT107	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT108	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT100	D	CPO_1_4825_0053_LG_002	4825	LG	LG7	80	0.964659591	0.96	0.00	2	Mined to 483m RL
1	8/19/25	DT005	D	CPO_1_4825_0053_LG_004	4825	LG	LG7	80	0.526467253	0.53	0.00	1	Mined to 483m RL
